teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate,AgeNow,yearSinceRetirement,retirementAge
FC Barcelona,Ludovic Sylvestre,05/02/1984,Central Midfield,Retired,01/07/2018,-,12/09/2016,38,4,34
FC Barcelona,Jordi Gómez,24/05/1985,Central Midfield,Without Club,01/07/2022,free transfer,17/08/2018,37,0,37
FC Barcelona,Pitu,24/11/1983,Central Midfield,Retired,01/07/2021,free transfer,24/01/2017,39,1,38
FC Barcelona,Andrés Iniesta,11/05/1984,Central Midfield,Vissel Kobe,01/07/2018,-,01/07/2002,38,4,34
FC Barcelona,Xavi,25/01/1980,Central Midfield,Retired,01/07/2019,free transfer,01/07/2015,42,3,39
FC Barcelona,Gabri,10/02/1979,Defensive Midfield,Retired,01/07/2014,-,24/07/2012,43,8,35
FC Barcelona,Edmílson,10/07/1976,Defensive Midfield,Retired,01/01/2012,free transfer,01/07/2011,46,10,36
FC Barcelona,Thiago Motta,28/08/1982,Defensive Midfield,Retired,01/07/2018,€11.50m,31/01/2012,40,4,36
FC Barcelona,Mark van Bommel,22/04/1977,Defensive Midfield,Retired,01/07/2013,free transfer,01/07/2012,45,9,36
FC Barcelona,Carlos Peña,28/07/1983,Left-Back,Retired,01/07/2020,free transfer,05/08/2018,39,2,37
FC Barcelona,Sylvinho,12/04/1974,Left-Back,Retired,01/07/2010,free transfer,01/08/2009,48,12,36
FC Barcelona,Giovanni van Bronckhorst,05/02/1975,Left-Back,Retired,01/07/2010,free transfer,01/07/2007,47,12,35
FC Barcelona,Jesús Olmo,24/01/1985,Centre-Back,Cartagena FC,01/08/2021,-,09/01/2021,37,1,36
FC Barcelona,Javi Martos,04/01/1984,Centre-Back,AE Prat,16/07/2020,free transfer,06/07/2019,38,2,36
FC Barcelona,Oleguer,02/02/1980,Centre-Back,Retired,01/07/2011,€3.00m,01/07/2008,42,11,31
FC Barcelona,Rafael Márquez,13/02/1979,Centre-Back,Retired,03/07/2018,€200Th.,01/01/2016,43,4,39
FC Barcelona,Carles Puyol,13/04/1978,Centre-Back,Retired,01/07/2014,-,01/07/1999,44,8,36
FC Barcelona,Víctor Valdés,14/01/1982,Goalkeeper,Retired,17/08/2017,free transfer,07/07/2016,40,5,35
Caykur Rizespor,István Ferenczi,14/09/1977,Centre-Forward,Retired,01/07/2018,-,01/01/2016,45,4,41
Caykur Rizespor,Saffet Akyüz,11/03/1970,Centre-Forward,Retired,01/07/2006,free transfer,09/02/2006,52,16,36
Caykur Rizespor,Okan Öztürk,30/11/1977,Centre-Forward,Retired,01/07/2013,free transfer,26/07/2012,44,9,35
Caykur Rizespor,Aydin Kuzu,03/05/1986,Right Winger,Tire Belediye,26/10/2021,free transfer,26/03/2021,36,1,35
Caykur Rizespor,Serkan Özdemir,14/05/1976,Right Winger,Retired,01/07/2017,-,14/10/2016,46,5,41
Caykur Rizespor,Ferdi Elmas,13/02/1985,Left Winger,Without Club,01/07/2017,-,10/01/2017,37,5,32
Caykur Rizespor,Murat Salar,23/11/1976,Attacking Midfield,Retired,01/03/2014,free transfer,30/07/2013,46,8,38
Caykur Rizespor,Douglas,18/02/1982,Attacking Midfield,Retired,27/10/2020,free transfer,12/03/2020,40,2,38
Caykur Rizespor,Altan Aksoy,05/02/1976,Attacking Midfield,Retired,01/07/2011,?,18/08/2010,46,11,35
Caykur Rizespor,Sener Askaroglu,24/04/1980,Right Midfield,Retired,26/09/2012,?,10/08/2011,42,10,32
Caykur Rizespor,Cem Baki,20/08/1977,Right Midfield,Retired,01/07/2014,free transfer,27/09/2013,45,8,37
Caykur Rizespor,Cafercan Aksu,15/01/1987,Central Midfield,Siirt IÖI,27/07/2022,free transfer,11/08/2021,35,0,35
Caykur Rizespor,Ünal Alpugan,03/08/1973,Defensive Midfield,Retired,01/04/2010,-,01/07/2009,49,12,37
Caykur Rizespor,Fahri Tatan,30/05/1983,Defensive Midfield,Retired,01/07/2018,free transfer,11/08/2017,39,4,35
Caykur Rizespor,Hakan Ünsal,14/05/1973,Left-Back,Retired,05/12/2005,free transfer,02/08/2005,49,16,33
Caykur Rizespor,Gustavo Victoria,14/05/1980,Left-Back,Retired,01/01/2014,free transfer,01/01/2013,42,8,34
Caykur Rizespor,Fatih Gültekin,23/06/1987,Centre-Back,Muglaspor,10/07/2022,free transfer,25/01/2022,35,0,35
Caykur Rizespor,Evren Kürkcü,08/11/1982,Centre-Back,Gaziosmanpasa,21/09/2017,free transfer,03/02/2017,40,5,35
Caykur Rizespor,Yasin Cakmak,06/01/1985,Centre-Back,Retired,01/07/2015,-,22/01/2015,37,7,30
Caykur Rizespor,Serhat Akyüz,10/08/1984,Centre-Back,Without Club,04/08/2020,free transfer,11/10/2019,38,2,36
Caykur Rizespor,Beshir El Tabei,24/02/1976,Centre-Back,Retired,27/05/2012,?,01/08/2011,46,10,36
Caykur Rizespor,Mehmet Polat,08/06/1978,Centre-Back,Retired,12/01/2012,?,07/01/2011,44,10,34
Caykur Rizespor,Zdravko Zdravkov,04/10/1970,Goalkeeper,Retired,01/07/2007,free transfer,08/07/2004,52,15,37
Sivasspor,Fatih Tutar,10/02/1984,Centre-Forward,Kücükcekmece IY,10/01/2020,-,19/09/2019,38,2,36
Sivasspor,Mehmet Yildiz,14/09/1981,Centre-Forward,Retired,25/11/2015,free transfer,24/08/2015,41,7,34
Sivasspor,Pini Balili,18/06/1979,Centre-Forward,Retired,01/07/2014,?,17/10/2012,43,8,35
Sivasspor,Ibrahim Aydemir,19/05/1983,Right Winger,Retired,01/07/2018,-,01/01/2018,39,4,35
Sivasspor,Mohamed Ali,29/08/1974,Attacking Midfield,Retired,01/07/2011,-,25/01/2011,48,11,37
Sivasspor,Ilhan Ummak,05/02/1979,Left Midfield,Retired,01/07/2015,-,17/01/2014,43,7,36
Sivasspor,Musa Kus,20/02/1978,Right Midfield,Retired,01/07/2014,-,04/10/2013,44,8,36
Sivasspor,Dennis Pena Lamego,17/06/1985,Central Midfield,Retired,01/01/2016,?,01/01/2015,37,6,31
Sivasspor,Fransergio,04/06/1980,Central Midfield,Retired,01/01/2011,?,01/01/2010,42,11,31
Sivasspor,Yasir Elmaci,10/10/1981,Defensive Midfield,Retired,15/11/2012,?,05/09/2012,41,10,31
Sivasspor,Cem Karaca,08/05/1976,Defensive Midfield,Retired,19/01/2018,free transfer,01/07/2017,46,4,42
Sivasspor,Hakan Bayraktar,09/08/1976,Defensive Midfield,Retired,20/01/2014,free transfer,01/07/2013,46,8,38
Sivasspor,Cem Can,01/04/1981,Right-Back,Retired,01/07/2016,free transfer,08/01/2015,41,6,35
Sivasspor,Hayrettin Yerlikaya,13/08/1981,Left-Back,Retired,01/07/2013,free transfer,08/09/1999,41,9,32
Sivasspor,Murat Sözgelmez,21/08/1985,Centre-Back,Retired,01/07/2018,free transfer,17/08/2017,37,4,33
Sivasspor,Hakki Hocaoglu,01/02/1975,Centre-Back,Retired,27/01/2010,free transfer,28/08/2009,47,12,35
Sivasspor,Raymond Kalla,22/04/1975,Centre-Back,Retired,01/07/2010,free transfer,01/07/2006,47,12,35
Sivasspor,Vedat Kapurtu,30/06/1978,Goalkeeper,Retired,01/07/2018,free transfer,07/08/2017,44,4,40
Sivasspor,Akin Vardar,02/04/1978,Goalkeeper,Retired,13/02/2013,free transfer,05/09/2012,44,9,35
Sivasspor,Oguz Daglaroglu,18/08/1979,Goalkeeper,Retired,01/07/2016,free transfer,05/01/2016,43,6,37
Sivasspor,Michael Petkovic,16/07/1976,Goalkeeper,Retired,01/05/2011,free transfer,01/07/2010,46,11,35
Diyarbakirspor,Erhan Ölker,12/07/1986,Centre-Forward,Kayapinar Bld,05/02/2016,free transfer,08/09/2015,36,6,30
Diyarbakirspor,Oktay Derelioglu,17/12/1975,Centre-Forward,Retired,15/03/2008,free transfer,15/08/2007,46,14,32
Diyarbakirspor,Goran Maznov,22/04/1981,Centre-Forward,Retired,17/02/2016,free transfer,05/08/2015,41,6,35
Diyarbakirspor,Hasan Özer,01/10/1974,Centre-Forward,Retired,02/09/2008,-,01/07/2008,48,14,34
Diyarbakirspor,Burhan Eser,01/01/1985,Right Winger,Isparta 32 Spor,21/08/2022,free transfer,01/08/2021,37,0,37
Diyarbakirspor,Sinan Turan,01/07/1985,Attacking Midfield,Siirt IÖI,01/08/2022,-,01/09/2021,37,0,37
Diyarbakirspor,Erkan Öztürk,17/05/1983,Attacking Midfield,Inter Monheim,01/07/2021,free transfer,30/08/2013,39,1,38
Diyarbakirspor,Serkan Aslan,15/01/1980,Attacking Midfield,Schwarzach,01/07/2021,free transfer,01/01/2021,42,1,41
Diyarbakirspor,Ender Alkan,02/01/1977,Attacking Midfield,Retired,09/09/2011,?,19/08/2010,45,11,34
Diyarbakirspor,Serdar Samatyali,26/01/1976,Right Midfield,Retired,01/07/2013,-,12/01/2012,46,9,37
Diyarbakirspor,Ali Sakal,08/08/1983,Central Midfield,Unknown,04/10/2019,free transfer,12/09/2018,39,3,36
Diyarbakirspor,Redi Jupi,31/08/1974,Central Midfield,Retired,01/07/2007,?,01/07/2006,48,15,33
Diyarbakirspor,Recep Asil,20/12/1975,Right-Back,Retired,01/07/2013,?,20/09/2012,46,9,37
Diyarbakirspor,Sinan Demircioglu,23/04/1975,Left-Back,Retired,31/08/2012,free transfer,27/08/2008,47,10,37
Diyarbakirspor,Elyasa Süme,13/08/1983,Centre-Back,Retired,29/03/2018,free transfer,01/08/2014,39,4,35
Diyarbakirspor,Tolga Dogantez,22/02/1975,Centre-Back,Retired,01/07/2012,-,01/02/2012,47,10,37
Diyarbakirspor,Can Cumhur Bozaci,23/08/1974,Centre-Back,Retired,27/12/2010,free transfer,01/09/2009,48,11,37
Diyarbakirspor,Goce Sedloski,10/04/1974,Centre-Back,Retired,01/07/2011,-,01/07/2010,48,11,37
Diyarbakirspor,Goran Stavrevski,02/01/1974,Defender,Novaci,01/07/2012,free transfer,01/07/2010,48,10,38
Diyarbakirspor,Murat Yigiter,08/05/1971,Goalkeeper,Retired,01/07/2006,?,20/01/2006,51,16,35
Diyarbakirspor,Ramazan Kursunlu,07/07/1981,Goalkeeper,Retired,27/12/2013,free transfer,25/08/2013,41,8,33
Diyarbakirspor,Metin Aktas,01/08/1977,Goalkeeper,Retired,01/07/2012,free transfer,18/01/2011,45,10,35
Kayseri Erciyesspor,Burhan Coskun,03/10/1981,Centre-Forward,Gaziantepgücü,08/09/2021,-,03/06/2021,41,1,40
Kayseri Erciyesspor,Cenk Isler,25/02/1974,Centre-Forward,Retired,30/12/2011,?,02/09/2011,48,10,38
Kayseri Erciyesspor,Junivan,20/11/1977,attack,Retired,01/07/2012,?,01/07/2010,45,10,35
Kayseri Erciyesspor,Júlio César Souza,15/06/1976,Attacking Midfield,Retired,01/07/2011,free transfer,01/03/2011,46,11,35
Kayseri Erciyesspor,Ali Akdeniz,17/04/1975,Left Midfield,Retired,01/07/2010,free transfer,10/10/2008,47,12,35
Kayseri Erciyesspor,Timucin Bayazit,26/10/1972,Left Midfield,Retired,01/07/2008,free transfer,03/09/2007,50,14,36
Kayseri Erciyesspor,Ilhan Özbay,19/09/1982,Right Midfield,Retired,01/07/2017,free transfer,01/07/2016,40,5,35
Kayseri Erciyesspor,Halit Güven Kocabal,12/04/1979,Central Midfield,Retired,01/07/2012,?,28/09/2011,43,10,33
Kayseri Erciyesspor,Mehmet Ayaz,10/04/1982,Central Midfield,Without Club,01/07/2018,free transfer,13/10/2017,40,4,36
Kayseri Erciyesspor,Muhammed Emin Bakan,27/12/1984,Defensive Midfield,Tavsanli Linyit,08/04/2021,free transfer,31/01/2020,37,1,36
Kayseri Erciyesspor,Emre Toraman,05/01/1979,Defensive Midfield,Retired,01/07/2018,free transfer,31/08/2016,43,4,39
Kayseri Erciyesspor,Riadh Bouazizi,08/04/1973,Defensive Midfield,Retired,01/07/2008,?,24/01/2007,49,14,35
Kayseri Erciyesspor,Gökhan Kök,03/01/1981,Right-Back,Retired,05/07/2013,-,05/09/2012,41,9,32
Kayseri Erciyesspor,Mehmet Fatih Karaca,04/07/1988,Centre-Back,Retired,23/08/2011,?,22/07/2011,34,11,23
Kayseri Erciyesspor,Lucién Mettomo,19/04/1977,Centre-Back,Retired,01/07/2009,free transfer,01/01/2008,45,13,32
Kayseri Erciyesspor,Senol Yavas,22/06/1973,Centre-Back,Retired,01/07/2010,free transfer,10/10/2008,49,12,37
Kayseri Erciyesspor,Mamadou Seck,23/08/1979,Centre-Back,Retired,01/07/2009,End of loan,01/03/2008,43,13,30
Kayseri Erciyesspor,Güven Yilmaz,07/02/1984,Goalkeeper,Develi Spor,25/10/2021,-,01/03/2021,38,1,37
Kayseri Erciyesspor,Zafer Özgültekin,10/03/1975,Goalkeeper,Retired,01/07/2011,free transfer,17/08/2010,47,11,36
Manisaspor,Mahmut Yilmaz,06/10/1979,Centre-Forward,Retired,01/07/2016,free transfer,31/08/2015,43,6,37
Manisaspor,Sinan Kaloglu,10/06/1981,Centre-Forward,Retired,31/05/2017,free transfer,03/02/2014,41,5,36
Manisaspor,Emre Isciler,28/09/1989,Right Winger,Bagcilar SK,15/08/2022,free transfer,22/01/2022,33,0,33
Manisaspor,Yigit Gökoglan,05/06/1989,Right Winger,Bergama Bld,20/08/2022,?,04/08/2021,33,0,33
Manisaspor,Filip Holosko,17/01/1984,Right Winger,SK Uvaly,14/02/2020,-,01/07/2019,38,2,36
Manisaspor,Arda Turan,30/01/1987,Left Winger,Retired,12/09/2022,-,01/07/2022,35,0,35
Manisaspor,Michal Meduna,31/08/1981,attack,Retired,01/09/2020,free transfer,31/07/2018,41,2,39
Manisaspor,Kenan Aslanoglu,07/07/1982,Attacking Midfield,Unknown,16/01/2019,-,01/07/2018,40,3,37
Manisaspor,Mithat Yavas,16/01/1975,Attacking Midfield,Retired,01/07/2007,?,08/02/2006,47,15,32
Manisaspor,Lukas Zelenka,05/10/1979,Attacking Midfield,Retired,01/07/2016,free transfer,01/01/2012,43,6,37
Manisaspor,Selcuk Inan,10/02/1985,Central Midfield,Retired,21/07/2020,free transfer,01/07/2011,37,2,35
Manisaspor,Zoltán Böőr,14/08/1978,Central Midfield,Retired,01/07/2015,?,01/08/2012,44,7,37
Manisaspor,Ugur Inceman,25/05/1981,Central Midfield,Retired,06/03/2018,free transfer,14/07/2016,41,4,37
Manisaspor,Sandro Mendes,04/02/1977,Defensive Midfield,Retired,01/07/2012,free transfer,01/07/2011,45,10,35
Manisaspor,Yilmaz Özlem,01/06/1972,Defensive Midfield,Retired,01/07/2011,?,16/07/2010,50,11,39
Manisaspor,Gündüz Gürol Azer,04/02/1980,Right-Back,Retired,01/07/2012,?,28/01/2011,42,10,32
Manisaspor,Hakan Balta,23/03/1983,Left-Back,Retired,01/07/2018,€1.00m,03/09/2007,39,4,35
Manisaspor,Caner Erkin,04/10/1988,Left-Back,Karagümrük,07/09/2021,free transfer,06/08/2020,34,1,33
Manisaspor,Tufan Esin,07/08/1980,Centre-Back,Silifke Bld,12/09/2014,?,06/09/2013,42,8,34
Manisaspor,Karel D'Haene,05/09/1980,Centre-Back,Retired,01/07/2016,free transfer,01/07/2006,42,6,36
Manisaspor,Petr Johana,11/01/1976,Centre-Back,Retired,01/07/2017,?,01/07/2014,46,5,41
Manisaspor,Egemen Gencalp,21/12/1987,Goalkeeper,Bodrumspor,14/01/2020,free transfer,02/09/2019,34,2,32
Kayserispor,Ilhan Parlak,18/01/1987,Centre-Forward,Kayserispor,18/09/2020,free transfer,24/07/2017,35,2,33
Kayserispor,Engin Cicem,29/03/1986,Centre-Forward,Retired,01/07/2018,free transfer,01/01/2018,36,4,32
Kayserispor,Aleksandar Rodic,26/12/1979,Centre-Forward,Without Club,01/07/2019,?,01/07/2018,42,3,39
Kayserispor,Gökhan Ünal,23/07/1982,Centre-Forward,Retired,01/07/2018,-,16/01/2018,40,4,36
Kayserispor,Köksal Yedek,17/01/1985,Attacking Midfield,Nisantasispor,14/02/2020,-,01/07/2018,37,2,35
Kayserispor,Fatih Ceylan,25/11/1980,Left Midfield,Türk Neckarsu.,01/07/2022,-,01/07/2020,42,0,42
Kayserispor,Bora Riza Kalyon,07/06/1986,Defensive Midfield,Retired,01/08/2019,free transfer,01/07/2016,36,3,33
Kayserispor,Altan Günes,09/02/1986,Defensive Midfield,Without Club,01/07/2019,free transfer,21/08/2015,36,3,33
Kayserispor,Kamber Arslan,05/01/1980,Defensive Midfield,Retired,05/03/2014,-,20/07/2013,42,8,34
Kayserispor,Ragip Basdag,09/06/1978,Defensive Midfield,Retired,01/07/2017,free transfer,24/08/2016,44,5,39
Kayserispor,Aydemir Yavuz,25/10/1985,Centre-Back,Unknown,01/02/2018,free transfer,20/09/2017,37,4,33
Kayserispor,Veysel Aksu,01/01/1985,Centre-Back,Alasehir Bld,03/11/2021,free transfer,04/06/2021,37,1,36
Kayserispor,Aydin Toscali,14/08/1980,Centre-Back,Retired,01/07/2014,free transfer,04/09/2013,42,8,34
Kayserispor,Rashad Sadyqov,16/06/1982,Centre-Back,Retired,01/07/2020,?,11/02/2011,40,2,38
Kayserispor,Ali Turan,06/09/1983,Centre-Back,Retired,08/09/2020,free transfer,05/09/2012,39,2,37
Kayserispor,Muhammet Hanifi Yoldas,20/04/1983,Centre-Back,Retired,01/07/2011,free transfer,18/01/2011,39,11,28
Kayserispor,Erman Sari,10/02/1986,Goalkeeper,Alibeyköy,15/01/2022,free transfer,27/10/2021,36,0,36
Malatyaspor,Ergun Cengiz,26/08/1987,Centre-Forward,K. Sinop Spor,10/09/2022,free transfer,26/08/2021,35,0,35
Malatyaspor,Jiri Masek,05/10/1978,Centre-Forward,Retired,01/01/2018,free transfer,01/07/2012,44,4,40
Malatyaspor,Jean-Emmanuel Effa-Owona,26/12/1983,Centre-Forward,73 Sirnak Bld,11/10/2018,free transfer,01/07/2017,38,4,34
Malatyaspor,Mustafa Özkan,21/02/1975,Centre-Forward,Retired,15/04/2010,free transfer,01/02/2010,47,12,35
Malatyaspor,Okan Yilmaz,16/05/1978,Centre-Forward,Retired,01/07/2012,-,20/01/2012,44,10,34
Malatyaspor,Evren Turhan,10/09/1974,Attacking Midfield,Retired,01/07/2018,free transfer,14/02/2014,48,4,44
Malatyaspor,Tomas Michalek,27/11/1977,Right Midfield,Retired,01/07/2018,?,01/01/2016,45,4,41
Malatyaspor,Serkan Bensol,01/07/1973,Right Midfield,Retired,01/07/2008,?,01/02/2008,49,14,35
Malatyaspor,Sebastian Johansson,04/09/1980,Central Midfield,Ahlafors IF,12/05/2014,-,01/07/2013,42,8,34
Malatyaspor,Hakan Söyler,06/04/1983,Defensive Midfield,Retired,01/07/2016,-,27/01/2016,39,6,33
Malatyaspor,Serdal Boyraz,10/12/1975,Defensive Midfield,Retired,01/09/2009,-,02/02/2009,46,13,33
Malatyaspor,Ibrahim Kargbo,10/04/1982,Defensive Midfield,Retired,24/04/2019,free transfer,01/07/2016,40,3,37
Malatyaspor,Vedat Tasdemir,15/09/1989,Right-Back,Firat Üni,28/08/2022,free transfer,20/04/2021,33,0,33
Malatyaspor,Hakan Aslantas,26/08/1985,Right-Back,Retired,26/08/2022,-,01/07/2022,37,0,37
Malatyaspor,Ramazan Kahya,16/09/1984,Left-Back,Retired,01/07/2019,-,14/01/2019,38,3,35
Malatyaspor,Volkan Bekiroglu,20/12/1977,Left-Back,Retired,02/01/2012,?,29/08/2011,44,10,34
Malatyaspor,Aytac Ak,22/04/1985,Centre-Back,Retired,01/07/2018,free transfer,21/09/2017,37,4,33
Malatyaspor,Jiri Homola,02/07/1980,Centre-Back,Retired,01/07/2020,?,10/07/2018,42,2,40
Malatyaspor,Ömer Erdogan,03/05/1977,Centre-Back,Retired,01/07/2013,?,01/07/2006,45,9,36
Malatyaspor,Fevzi Tuncay,14/09/1977,Goalkeeper,Retired,01/07/2012,-,18/01/2012,45,10,35
Genclerbirligi Ankara,Mehmet Cakir,04/01/1984,Centre-Forward,Retired,01/07/2019,free transfer,18/09/2018,38,3,35
Genclerbirligi Ankara,Igor Bogdanovic,25/09/1974,Centre-Forward,Retired,01/07/2017,free transfer,11/08/2015,48,5,43
Genclerbirligi Ankara,Ugur Boral,14/04/1982,Left Midfield,Retired,01/07/2015,free transfer,30/07/2012,40,7,33
Genclerbirligi Ankara,Tayfun Korkut,02/04/1974,Right Midfield,Retired,01/07/2006,-,07/02/2006,48,16,32
Genclerbirligi Ankara,Engin Baytar,11/07/1983,Central Midfield,Without Club,12/07/2021,free transfer,04/06/2021,39,1,38
Genclerbirligi Ankara,Christophe Lepoint,24/10/1984,Central Midfield,RFC Seraing,01/07/2022,?,17/01/2021,38,0,38
Genclerbirligi Ankara,Josip Skoko,10/12/1975,Central Midfield,Retired,01/07/2011,free transfer,01/07/2010,46,11,35
Genclerbirligi Ankara,Kerem Seras,01/01/1984,Defensive Midfield,Without Club,15/01/2020,?,30/08/2018,38,2,36
Genclerbirligi Ankara,Gökhan Gönül,04/01/1985,Right-Back,C. Rizespor,16/07/2021,free transfer,06/08/2020,37,1,36
Genclerbirligi Ankara,Erhan Güven,15/05/1982,Right-Back,Retired,01/07/2014,free transfer,22/01/2014,40,8,32
Genclerbirligi Ankara,Christian Järdler,03/06/1982,Left-Back,Retired,12/09/2013,free transfer,01/01/2009,40,9,31
Genclerbirligi Ankara,Ismail Güldüren,10/01/1979,Centre-Back,Retired,01/07/2010,free transfer,25/07/2009,43,12,31
Genclerbirligi Ankara,Ercüment Kafkasyali,13/09/1985,Goalkeeper,Cankaya FK,01/07/2022,?,11/08/2020,37,0,37
Genclerbirligi Ankara,Ömer Catkic,15/10/1974,Goalkeeper,Retired,01/07/2012,free transfer,04/07/2008,48,10,38
Genclerbirligi Ankara,Gökhan Tokgöz,22/04/1979,Goalkeeper,Retired,01/07/2012,?,30/01/2012,43,10,33
Samsunspor,Rafael Marques,27/05/1983,Centre-Forward,Primavera,20/01/2022,free transfer,02/03/2021,39,0,39
Samsunspor,Serkan Aykut,24/02/1975,Centre-Forward,Retired,01/01/2009,€500Th.,28/08/2002,47,13,34
Samsunspor,Caner Altin,03/07/1983,Centre-Forward,Retired,16/01/2014,?,05/09/2012,39,8,31
Samsunspor,Georgi Ivanov,02/07/1976,Centre-Forward,Retired,01/07/2009,€150Th.,01/07/2008,46,13,33
Samsunspor,Musa Aydin,01/11/1980,Right Winger,Retired,01/07/2016,free transfer,05/09/2012,42,6,36
Samsunspor,Celil Sagir,15/04/1974,Left Midfield,Retired,01/07/2013,-,19/01/2012,48,9,39
Samsunspor,Sefa Aksoy,26/02/1989,Central Midfield,68 Aksaray Bld,01/07/2022,free transfer,24/08/2021,33,0,33
Samsunspor,Adnan Güngör,20/09/1980,Defensive Midfield,Retired,01/07/2016,free transfer,17/08/2015,42,6,36
Samsunspor,Emre Balak,11/08/1988,Centre-Back,Without Club,04/08/2020,free transfer,19/09/2019,34,2,32
Samsunspor,Ibrahima Gueyé,19/02/1978,Centre-Back,Retired,01/07/2014,-,11/02/2014,44,8,36
Samsunspor,Yordan Petkov,11/03/1976,Centre-Back,Retired,01/07/2011,free transfer,01/01/2011,46,11,35
Samsunspor,Kenan Yelek,15/08/1975,Centre-Back,Retired,12/09/2011,free transfer,01/07/2000,47,11,36
Samsunspor,Seyhun Türe,23/02/1986,Goalkeeper,Beykozspor,18/10/2021,free transfer,26/03/2021,36,1,35
Samsunspor,Alioum Boukar,03/01/1972,Goalkeeper,Retired,30/07/2010,-,11/01/2008,50,12,38
MKE Ankaragücü,Ali Gherieni,11/06/1983,Centre-Forward,Retired,01/09/2015,-,04/07/2015,39,7,32
MKE Ankaragücü,Ahmed Belal,20/08/1980,Centre-Forward,Retired,28/01/2013,-,06/01/2013,42,9,33
MKE Ankaragücü,Umut Bulut,15/03/1983,Centre-Forward,Eyüpspor,05/08/2021,-,06/01/2020,39,1,38
MKE Ankaragücü,Birol Aksancak,08/04/1979,Left Winger,Retired,09/12/2009,?,14/08/2009,43,12,31
MKE Ankaragücü,Elvir Baljic,08/07/1974,Left Winger,Retired,01/07/2008,free transfer,29/08/2006,48,14,34
MKE Ankaragücü,Héverton,28/10/1985,Attacking Midfield,Retired,25/04/2016,free transfer,21/01/2016,37,6,31
MKE Ankaragücü,Robson,30/08/1988,Attacking Midfield,River Plate-SE,01/01/2013,-,01/01/2011,34,9,25
MKE Ankaragücü,Charles-Edouard Coridon,09/04/1973,Attacking Midfield,Retired,01/07/2008,?,01/07/2006,49,14,35
MKE Ankaragücü,Murat Duruer,15/01/1988,Central Midfield,Without Club,21/05/2019,?,31/08/2018,34,3,31
MKE Ankaragücü,Burak Karaduman,23/02/1985,Central Midfield,Retired,01/07/2018,free transfer,05/10/2017,37,4,33
MKE Ankaragücü,Deniz Kolgu,28/01/1974,Central Midfield,Retired,30/07/2009,-,31/05/2009,48,13,35
MKE Ankaragücü,Cem Sinan Vergül,25/10/1978,Defensive Midfield,Retired,14/09/2012,?,26/08/2011,44,10,34
MKE Ankaragücü,Ergin Pektas,03/03/1987,midfield,Retired,01/07/2017,-,12/02/2016,35,5,30
MKE Ankaragücü,Abdurrahman Dereli,15/02/1981,Right-Back,Retired,08/01/2016,free transfer,06/07/2015,41,6,35
MKE Ankaragücü,Niyazi Güney,26/04/1974,Right-Back,Retired,01/07/2009,-,30/01/2009,48,13,35
MKE Ankaragücü,Ivaylo Petkov,24/03/1976,Left-Back,Retired,01/07/2011,free transfer,01/01/2009,46,11,35
MKE Ankaragücü,Emre Güngör,01/08/1984,Centre-Back,Retired,23/03/2017,free transfer,31/08/2016,38,5,33
MKE Ankaragücü,Gökmen Baris,19/01/1974,Centre-Back,Retired,01/07/2008,-,04/08/2006,48,14,34
MKE Ankaragücü,Hakan Kutlu,14/01/1972,Sweeper,Retired,01/07/2007,-,22/02/1993,50,15,35
MKE Ankaragücü,Serkan Kirintili,15/02/1985,Goalkeeper,Ümraniyespor,01/07/2022,free transfer,01/02/2021,37,0,37
Konyaspor,Gustave Bebbe,22/06/1982,Centre-Forward,S. Kapadokya,23/03/2021,free transfer,17/01/2020,40,1,39
Konyaspor,Tayfun Türkmen,12/04/1978,Centre-Forward,Retired,01/07/2012,free transfer,19/08/2010,44,10,34
Konyaspor,Mustafa Er,11/01/1980,Central Midfield,Retired,01/07/2014,-,01/01/2014,42,8,34
Konyaspor,Tayfun Seven,25/06/1980,Central Midfield,Retired,01/07/2015,?,01/09/2014,42,7,35
Konyaspor,Gökhan Cakir,14/07/1987,Defensive Midfield,K. Sinop Spor,04/06/2021,-,11/06/2019,35,1,34
Konyaspor,Zafer Demir,08/01/1977,Defensive Midfield,Retired,01/07/2013,-,08/02/2013,45,9,36
Konyaspor,Levent Kartop,21/08/1979,Defensive Midfield,Retired,27/12/2012,free transfer,11/07/2012,43,9,34
Konyaspor,Yasin Celik,08/04/1975,Right-Back,Retired,01/07/2009,-,20/01/2009,47,13,34
Konyaspor,Ömer Gündostu,01/06/1976,Centre-Back,Retired,01/07/2011,-,30/09/2010,46,11,35
Konyaspor,Abdelzaher El Saka,30/01/1974,Centre-Back,Retired,01/05/2012,free transfer,01/07/2010,48,10,38
Konyaspor,Ümit Bozkurt,20/04/1976,Sweeper,Retired,01/02/2011,free transfer,23/07/2010,46,11,35
Konyaspor,Eray Birnican,20/07/1988,Goalkeeper,GMG Kastamonu,04/09/2022,free transfer,04/10/2020,34,0,34
Konyaspor,Özden Öngün,10/09/1978,Goalkeeper,Retired,30/12/2013,?,31/01/2013,44,8,36
Denizlispor,Mehmet Yilmaz,22/05/1979,Centre-Forward,Retired,07/05/2013,-,01/02/2013,43,9,34
Denizlispor,Hüseyin Kartal,01/01/1982,Centre-Forward,Retired,01/07/2016,-,29/01/2015,40,6,34
