playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam
Sebastian Kehl,Defensive Midfield,Retired,€3.20m,35,13
Philipp Degen,Right-Back,Retired,-,33,5
Dedê,Left-Back,Retired,free transfer,36,3
Jörn Neumeister,Centre-Back,Retired,-,24,6
Marc Heitmeier,Centre-Back,Retired,free transfer,32,1
Michael Parensen,Centre-Back,Polar Pinguin,-,35,1
Kosi Saka,Centre-Back,SF Baumberg,-,28,4
Uwe Hünemeier,Centre-Back,SC Paderborn,€2.70m,32,3
Christian Wörns,Centre-Back,Retired,€6.75m,36,9
Christoph Metzelder,Centre-Back,Retired,free transfer,34,1
Sascha Samulewicz,Goalkeeper,BSV Schüren,free transfer,29,1
Sören Pirson,Goalkeeper,Retired,free transfer,32,5
Dennis Gentenaar,Goalkeeper,Retired,free transfer,39,1
Roman Weidenfeller,Goalkeeper,Retired,free transfer,38,16
René Schnitzler,Centre-Forward,Rheydter SV,-,28,2
Timo Röttger,Centre-Forward,Retired,free transfer,35,5
Josip Tadic,Centre-Forward,Zalgiris,free transfer,34,2
Michal Papadopulos,Centre-Forward,Karvina,free transfer,35,1
Dimitar Berbatov,Centre-Forward,Retired,-,37,1
Danko Lazovic,Second Striker,Retired,free transfer,35,2
Andriy Voronin,Second Striker,Retired,End of loan,35,1
Tranquillo Barnetta,Attacking Midfield,Retired,free transfer,34,2
Sascha Dum,Left Midfield,Rurland,free transfer,36,1
Marko Babic,Left Midfield,Retired,-,32,0
Jacek Krzynowek,Left Midfield,Retired,€500Th.,34,1
Bernd Schneider,Right Midfield,Retired,€1.25m,36,10
Paul Freier,Right Midfield,Retired,€1.10m,35,6
Gonzalo Castro,Central Midfield,Retired,-,35,0
Ali Camdali,Defensive Midfield,Retired,-,36,0
Carsten Ramelow,Defensive Midfield,Retired,-,34,0
Simon Rolfes,Defensive Midfield,Retired,€750Th.,33,10
Clemens Fritz,Right-Back,Retired,free transfer,36,11
Jan-Ingwer Callsen-Bracker,Centre-Back,Retired,End of loan,35,1
Ahmed Madouni,Centre-Back,Retired,-,34,0
Fredrik Stenman,Centre-Back,Retired,free transfer,34,1
Roque Júnior,Centre-Back,Retired,-,34,0
Juan,Centre-Back,Retired,free transfer,40,3
Jens Nowotny,Sweeper,Retired,free transfer,33,1
Benedikt Fernandez,Goalkeeper,Retired,free transfer,33,3
René Adler,Goalkeeper,Retired,free transfer,34,2
Hans Jörg Butt,Goalkeeper,Retired,free transfer,38,4
Joseph Laumann,Centre-Forward,Retired,free transfer,32,2
Ebbe Sand,Centre-Forward,Retired,€5.15m,34,7
Gerald Asamoah,Centre-Forward,Retired,free transfer,37,2
Kevin Kuranyi,Centre-Forward,Retired,free transfer,34,1
Lincoln,Attacking Midfield,Retired,?,36,1
Levan Kobiashvili,Left Midfield,Retired,free transfer,37,4
Gustavo Varela,Right Midfield,Retired,-,36,1
Hamit Altintop,Right Midfield,Retired,free transfer,35,1
Christian Poulsen,Defensive Midfield,Retired,-,37,2
Rafinha,Right-Back,São Paulo,free transfer,37,1
Marco van Hoogdalem,Centre-Back,Retired,End of loan,34,2
Mario Klinger,Centre-Back,Stoppenberg,free transfer,35,2
Niko Bungert,Centre-Back,Retired,€40Th.,33,11
Tim Hoogland,Centre-Back,Retired,free transfer,35,1
Tomasz Waldoch,Centre-Back,Retired,-,36,0
Thomas Kläsener,Centre-Back,Retired,free transfer,37,2
Mladen Krstajic,Centre-Back,Retired,free transfer,37,2
Marcelo Bordon,Centre-Back,Retired,free transfer,35,1
Ralf Fährmann,Goalkeeper,FC Schalke 04,loan transfer,23,-9
Manuel Neuer,Goalkeeper,Bayern Munich,-,25,6
Rouwen Hennings,Centre-Forward,F. Düsseldorf,End of loan,30,0
Naohiro Takahara,Centre-Forward,Okinawa SV,?,37,1
Aílton,Centre-Forward,Retired,-,41,2
Benjamin Lauth,Centre-Forward,Retired,free transfer,34,1
Sergej Barbarez,Second Striker,Retired,free transfer,37,2
Mehdi Mahdavikia,Right Winger,Retired,free transfer,36,1
Charles Takyi,Attacking Midfield,Retired,free transfer,34,2
Stefan Beinlich,Attacking Midfield,Retired,free transfer,36,2
Piotr Trochowski,Attacking Midfield,Retired,-,37,2
Rafael van der Vaart,Attacking Midfield,Retired,free transfer,35,0
Alexander Laas,Left Midfield,Retired,-,30,0
Markus Karl,Defensive Midfield,SV Alsenborn,-,35,1
Collin Benjamin,Defensive Midfield,Retired,free transfer,34,1
Raphael Wicky,Defensive Midfield,Retired,free transfer,32,1
David Jarolim,midfield,Ujezd nad Lesy,?,40,4
Volker Schmidt,Right-Back,Retired,-,34,1
Miso Brecko,Right-Back,Retired,€500Th.,34,3
Guy Demel,Right-Back,Retired,free transfer,36,0
Daniel Ziebig,Left-Back,Retired,free transfer,32,2
Boris Leschinski,Centre-Back,Retired,free transfer,29,3
René Klingbeil,Centre-Back,Retired,free transfer,36,2
Reto Ziegler,Centre-Back,FC Lugano,-,35,0
Bastian Reinhardt,Centre-Back,Retired,-,37,1
Daniel Van Buyten,Centre-Back,Retired,€8.00m,36,8
Wolfgang Hesl,Goalkeeper,Ettmannsdorf,free transfer,34,1
Stefan Wächter,Goalkeeper,Retired,free transfer,32,3
Ivan Klasnic,Centre-Forward,Retired,-,33,1
Aaron Hunt,Attacking Midfield,Retired,-,36,1
Johan Micoud,Attacking Midfield,Retired,€3.00m,35,2
Ümit Davala,Right Midfield,Retired,€500Th.,33,2
Leon Andreasen,Central Midfield,Retired,€2.50m,33,7
Daniel Jensen,Central Midfield,Retired,free transfer,37,1
Tim Borowski,Central Midfield,Retired,€750Th.,32,3
Pekka Lagerblom,Defensive Midfield,Retired,free transfer,38,1
Jurica Vranjes,Defensive Midfield,Retired,-,32,0
Frank Baumann,Defensive Midfield,Retired,free transfer,34,10
Torsten Frings,Defensive Midfield,Retired,free transfer,37,2
Benjamin Venekamp,Left-Back,Retired,-,31,1
Francis Banecki,Centre-Back,SV RW Gülitz,-,33,1
Jelle Van Damme,Centre-Back,Retired,-,38,1
Christian Schulz,Centre-Back,Retired,free transfer,38,3
Frank Fahrenhorst,Centre-Back,Retired,free transfer,35,2
Naldo,Centre-Back,Retired,-,38,0
Petri Pasanen,Centre-Back,Retired,free transfer,36,2
Andreas Reinke,Goalkeeper,Retired,free transfer,38,4
Tim Wiese,Goalkeeper,Retired,-,35,0
Roque Santa Cruz,Centre-Forward,Libertad,free transfer,41,6
Paolo Guerrero,Centre-Forward,Avaí FC,-,38,1
Mehmet Scholl,Attacking Midfield,Retired,€2.50m,37,15
Zé Roberto,Left Midfield,Retired,free transfer,43,2
Hasan Salihamidzic,Right Midfield,Retired,free transfer,35,1
Julio dos Santos,Central Midfield,Retired,?,39,0
Bastian Schweinsteiger,Central Midfield,Retired,free transfer,36,3
Thorsten Fink,Defensive Midfield,Retired,-,39,3
Andreas Ottl,Defensive Midfield,Retired,free transfer,29,2
Jens Jeremies,Defensive Midfield,Retired,€800Th.,32,8
Owen Hargreaves,Defensive Midfield,Retired,free transfer,31,1
Philipp Lahm,Right-Back,Retired,End of loan,34,12
Willy Sagnol,Right-Back,Retired,€7.70m,32,9
Valérien Ismaël,Centre-Back,Retired,€200Th.,34,1
Martín Demichelis,Centre-Back,Retired,free transfer,36,0
Lúcio,Centre-Back,Retired,-,42,1
Bernd Dreher,Goalkeeper,Retired,-,42,3
Jan Schlösser,Goalkeeper,Retired,-,27,2
Oliver Kahn,Goalkeeper,Retired,€2.30m,39,14
Vasilios Sachinidis,Centre-Forward,Without Club,free transfer,35,2
Fernando Benitez,Centre-Forward,Retired,free transfer,38,4
Emanuel Perrone,Centre-Forward,Retired,free transfer,37,2
Milton Coimbra,Centre-Forward,Retired,?,35,1
Benjamin Onwuachi,Centre-Forward,Without Club,free transfer,35,0
Anastasios Triantafyllou,Centre-Forward,Retired,free transfer,42,0
Filipe da Costa,Left Winger,Retired,free transfer,33,0
Nikolaos Tsimplidis,Right Midfield,Retired,free transfer,38,0
Georgios Vourexakis,Defensive Midfield,Retired,free transfer,35,1
Juan Pajuelo,Centre-Back,Retired,?,38,2
Georgios Poulopoulos,Centre-Back,Retired,free transfer,37,0
Stelios Chlachlas,Goalkeeper,Retired,free transfer,23,1
Branko Radovanovic,Centre-Forward,Retired,free transfer,28,2
Athanasios Tsigas,Centre-Forward,Without Club,free transfer,33,0
Christos Koutsospyros,Centre-Forward,Retired,free transfer,35,0
Giannis Lazanas,Centre-Forward,Retired,free transfer,36,1
Hristo Telkiyski,Attacking Midfield,Retired,free transfer,35,2
Grigoris Psarris,Left Midfield,Retired,free transfer,21,0
Jean Marie Sylla,Left Midfield,Retired,-,32,1
Amiran Mujiri,Central Midfield,Retired,-,41,4
Xenofon Belegrinis,Right-Back,Retired,free transfer,31,1
Vangelis Tsiolis,Left-Back,Retired,free transfer,30,1
Aleksandar Mijatovic,Centre-Back,Retired,?,34,3
Leonidas Vokolos,Centre-Back,Retired,free transfer,37,1
Georgios Koulakiotis,Centre-Back,Retired,free transfer,33,2
Panagiotis Koliakis,Goalkeeper,Unknown,free transfer,25,1
Panagiotis Bartzokas,Goalkeeper,Retired,?,37,1
Rastislav Lazorik,Centre-Forward,Retired,free transfer,36,1
Alex José de Paula,Centre-Forward,Unknown,?,38,4
Mirnes Sisic,Right Winger,Retired,-,34,1
Ivan Rusev,Attacking Midfield,Retired,?,40,3
Danilo Goiano,Central Midfield,Retired,free transfer,33,0
Miguel Mea Vitali,Defensive Midfield,Retired,free transfer,37,4
Konstantinos Kallimanis,Right-Back,Retired,free transfer,36,1
Panagiotis Macheras,Left-Back,Retired,free transfer,35,1
Carlos Massara,Left-Back,Retired,free transfer,34,1
Vasilios Kotsou,Centre-Back,Unknown,free transfer,30,2
Theopistos Papadopoulos,Centre-Back,Retired,free transfer,37,2
Anderson do Ó,Centre-Back,Retired,free transfer,35,0
Nikolaos Dimitropoulos,Centre-Back,Retired,free transfer,31,1
Nikolaos Zafiropoulos,Goalkeeper,Retired,free transfer,36,3
Edu Sales,Centre-Forward,Retired,free transfer,33,0
Samba Sow,Centre-Forward,Retired,free transfer,27,1
Froylán Ledezma,Centre-Forward,Retired,free transfer,34,0
Lucas de Francesco,Centre-Forward,Retired,-,38,0
Roberto Merino,Attacking Midfield,Retired,free transfer,38,0
Lucian Marinescu,Attacking Midfield,Retired,free transfer,34,1
Nikola Vujovic,Left Midfield,Retired,?,37,1
Manolis Skoufalis,Right Midfield,Retired,free transfer,37,1
Laurent Macquet,Central Midfield,Retired,-,34,2
Sven Vandenbroeck,Defensive Midfield,Retired,free transfer,31,1
Stathis Kappos,Right-Back,Unknown,free transfer,31,1
Konstantinos Pagonis,Left-Back,Retired,free transfer,31,0
Paolo Vanoli,Left-Back,Retired,?,35,1
Berny Peña,Centre-Back,Retired,free transfer,32,1
Konstantinos Bantas,Centre-Back,Retired,free transfer,35,1
Giannis Sfakianakis,Centre-Back,Retired,free transfer,38,1
Panagiotis Giannopoulos,Defender,Retired,free transfer,30,1
Sotiris Lyberopoulos,Goalkeeper,Retired,free transfer,40,2
Aílton,Centre-Forward,Retired,?,35,1
Karim Mouzaoui,Centre-Forward,Retired,free transfer,36,3
Christos Christoforidis,Left Winger,Retired,free transfer,34,5
Vladimir Matijasevic,Attacking Midfield,Retired,-,29,1
Cleyton,Attacking Midfield,Retired,-,36,1
Ali El Omari,Left Midfield,Retired,free transfer,33,1
Giannis Bakanos,Right Midfield,Unknown,free transfer,26,1
Dimitrios Orfanos,Central Midfield,Retired,free transfer,33,1
Michalis Bolos,Defensive Midfield,Retired,free transfer,26,2
Vasilios Myroforidis,Defensive Midfield,Unknown,-,25,1
Dimitrios Petkakis,Right-Back,Retired,free transfer,35,2
Merkourios Karaliopoulos,Left-Back,Without Club,free transfer,36,2
Michalis Nikolopoulos,Centre-Back,Ban,free transfer,31,3
Christos Kalogerakis,Goalkeeper,Without Club,free transfer,33,2
Sasa Radivojevic,Goalkeeper,Retired,?,35,1
Pavel Kovac,Goalkeeper,Retired,free transfer,44,4
Forkey Doe,Centre-Forward,Without Club,free transfer,32,0
Rafik Djebbour,Centre-Forward,Retired,-,34,1
Georgios Koutsis,Central Midfield,Retired,free transfer,38,4
Giannis Katemis,Right-Back,Retired,free transfer,34,1
Georgios Georgiou,Centre-Back,Retired,free transfer,37,0
Vangelis Dagas,Centre-Back,Retired,free transfer,35,0
Giannis Sotirchos,Centre-Back,Retired,free transfer,38,1
Fotis Karagiolidis,Goalkeeper,Without Club,free transfer,35,1
Konstantinos Andriolas,Goalkeeper,Retired,free transfer,36,1
Alexis Gavrilopoulos,Centre-Forward,Retired,free transfer,28,1
Thierry Modo Abouna,Right Winger,Unknown,free transfer,29,3
Guga,Right Winger,Retired,free transfer,33,3
Apostolos Papakostas,Attacking Midfield,Without Club,free transfer,38,1
Ivan Nedeljkovic,Left Midfield,Retired,free transfer,33,1
Dennis Serban,Central Midfield,Retired,free transfer,31,1
Angelos Digozis,Defensive Midfield,Retired,free transfer,37,0
Vangelis Stournaras,Right-Back,Retired,free transfer,37,2
Georgios Passios,Centre-Back,Retired,free transfer,27,1
Hélder Cristóvão,Centre-Back,Retired,-,35,0
Nikolaos Dabizas,Centre-Back,Retired,free transfer,38,6
Spyros Christopoulos,Goalkeeper,Retired,free transfer,34,1
Fotis Kipouros,Goalkeeper,Retired,free transfer,42,3
Tomas Oravec,Centre-Forward,Retired,?,39,5
Mario Breska,Right Winger,Retired,?,38,1
Simos Krassas,Left Winger,Retired,free transfer,35,2
Fernando Navas,Left Midfield,Retired,?,37,1
Dillon Sheppard,Left Midfield,Retired,free transfer,38,3
Darío Fernández,Central Midfield,Retired,free transfer,38,1
Esad Veledar,midfield,Retired,free transfer,25,1
Vangelis Koutsopoulos,Left-Back,Without Club,free transfer,36,0
Spyros Gitsalis,Centre-Back,Without Club,free transfer,28,7
Mico Smiljanic,Centre-Back,Retired,free transfer,39,1
József Gáspár,Centre-Back,Retired,free transfer,35,3
Savvas Exouzidis,Centre-Back,Retired,free transfer,37,2
Charalampos Tabasis,Goalkeeper,Retired,free transfer,27,0
Alexandros Vlastos,Centre-Forward,Retired,free transfer,30,4
Kabba Samura,attack,Retired,?,31,1
Tzvetomir Tchipev,Central Midfield,Retired,free transfer,34,2
Stelios Sfakianakis,Central Midfield,Retired,free transfer,38,2
Ednilson,Defensive Midfield,Retired,free transfer,30,1
Romik Khachatryan,Defensive Midfield,Retired,?,34,0
Steven Bryce,midfield,Retired,?,33,0
Konstantinos Konstantakis,Right-Back,Retired,free transfer,25,2
Davidson Morais,Right-Back,Retired,free transfer,31,3
Georgios Koltzos,Left-Back,Retired,free transfer,36,1
Dimitrios Arvanitis,Centre-Back,Retired,free transfer,41,1
Pierre Issa,Centre-Back,Retired,free transfer,34,4
Alexandros Kasmeridis,Goalkeeper,Retired,free transfer,34,1
Michalis Sifakis,Goalkeeper,Retired,-,34,0
Leonidas Kyvelidis,Centre-Forward,Retired,free transfer,36,1
Prokopis Saganas,Centre-Forward,Retired,-,37,2
Georgios Barkoglou,Attacking Midfield,Retired,free transfer,37,1
Marko Maric,Defensive Midfield,Retired,-,28,0
Suleiman Omo,midfield,Without Club,free transfer,36,1
Dimitrios Tsitsomitsos,Right-Back,Retired,free transfer,31,2
Georgios Tsirogiannis,Left-Back,Without Club,free transfer,30,1
Goran Popov,Left-Back,Retired,free transfer,35,5
Miltiadis Gougoulakis,Centre-Back,Retired,free transfer,35,2
Giannis Zapropoulos,Centre-Back,Retired,free transfer,29,1
Athos Chrisostomou,Goalkeeper,Without Club,free transfer,41,1
Luigi Cennamo,Goalkeeper,Retired,free transfer,38,1
Pawel Kieszek,Goalkeeper,Without Club,free transfer,38,1
Giannis Papapostolou,Centre-Forward,Without Club,free transfer,36,4
Pantelis Kapetanos,Centre-Forward,Retired,-,36,1
Charalabos Perperidis,Right-Back,Unknown,free transfer,34,1
Miroslaw Sznaucner,Right-Back,Retired,free transfer,34,1
Bark Seghiri,Centre-Back,Retired,free transfer,32,1
Konstantinos Stefanis,Defender,Retired,free transfer,37,1
Panagiotis Dilberis,Goalkeeper,Retired,free transfer,36,4
Athanasios Palaskas,Centre-Forward,Without Club,free transfer,31,1
Chiquinho,Centre-Forward,Retired,free transfer,31,1
Stefan Jansen,Centre-Forward,Retired,free transfer,36,1
Chaly Jones,Right Winger,Retired,free transfer,35,1
Dema,Central Midfield,Retired,?,34,0
Stelian Carabas,Central Midfield,Retired,free transfer,33,1
Antonis Rikka,Defensive Midfield,Retired,free transfer,34,1
Léo Mineiro,Defensive Midfield,Unknown,-,38,5
Émerson,Defensive Midfield,Retired,free transfer,36,0
Paschalis Melissas,Left-Back,Retired,free transfer,34,1
Vance Sikov,Centre-Back,Retired,free transfer,36,0
Antonis Voulgaris,Goalkeeper,Retired,free transfer,31,2
Nikolaos Anastasopoulos,Goalkeeper,Retired,free transfer,36,1
Ilias Charalampous,Left-Back,Retired,free transfer,37,3
Amir Azmi Megahed,Centre-Back,Retired,-,34,0
Christos Karypidis,Centre-Back,Retired,free transfer,36,1
Oleg Venglynskyi,Centre-Forward,Retired,€600Th.,31,2
Nikolaos Lyberopoulos,Centre-Forward,Retired,free transfer,37,2
Alessandro Soares,Right Winger,Retired,free transfer,41,1
Miltiadis Sapanis,Central Midfield,Retired,free transfer,39,3
Stavros Tziortziopoulos,Left-Back,Retired,free transfer,37,1
Nikola Malbasa,Left-Back,Retired,free transfer,30,0
Vasilios Pliatsikas,Centre-Back,Without Club,free transfer,33,1
Dionysis Chiotis,Goalkeeper,Retired,free transfer,40,1
Vangelis Mantzios,Centre-Forward,Retired,free transfer,39,2
Nordin Wooter,Right Winger,Retired,free transfer,31,1
Alexandros Tziolis,Defensive Midfield,Retired,-,35,1
Igor Biscan,Defensive Midfield,Retired,-,34,4
Giannis Stathis,Right-Back,Without Club,free transfer,34,1
Anthony Seric,Left-Back,Retired,-,35,1
Grigoris Kokolakis,Centre-Back,Retired,free transfer,30,4
Michalis Siimitras,Goalkeeper,Retired,free transfer,35,3
Pierre Ebéde,Goalkeeper,Retired,-,41,9
Alexandre D'Acol,Centre-Forward,Without Club,free transfer,32,0
Dani García,Centre-Forward,Retired,free transfer,33,1
Michalis Konstantinou,Centre-Forward,Retired,-,36,1
Haruna Babangida,Right Winger,Retired,-,33,0
Zhora Hovhannisyan,Attacking Midfield,Retired,free transfer,27,0
Petros Filippakos,Right Midfield,Retired,-,30,1
Milos Maric,Central Midfield,Retired,?,34,3
Pantelis Kafes,Central Midfield,Retired,-,36,1
Giannis Taralidis,Defensive Midfield,Without Club,free transfer,39,1
Stelios Venetidis,Left-Back,Retired,free transfer,36,6
Efthymios Kouloucheris,Centre-Back,Retired,free transfer,33,0
Gabriel Schürrer,Centre-Back,Retired,free transfer,36,1
Giannis Siderakis,Goalkeeper,Retired,free transfer,30,1
Kleopas Giannou,Goalkeeper,Retired,free transfer,26,0
Erwin Lemmens,Goalkeeper,Retired,free transfer,34,1
Antonis Nikopolidis,Goalkeeper,Retired,free transfer,40,7
Federico Piovaccari,Centre-Forward,Giugliano,free transfer,38,0
Damien Florian,Centre-Forward,FC Clivense SM,free transfer,35,0
Luigi Beghetto,Centre-Forward,Retired,free transfer,36,0
Dino Fava,Centre-Forward,Sessana,free transfer,45,1
Reginaldo,Centre-Forward,Picerno,free transfer,38,1
Andrea Russotto,Attacking Midfield,Catania,-,34,0
Blazej Vascak,Attacking Midfield,Retired,free transfer,38,1
André Pinga,Attacking Midfield,Retired,free transfer,32,0
Antonio Filippini,Right Midfield,Retired,free transfer,38,1
Emanuele Filippini,Central Midfield,Retired,?,36,2
Walter Baseggio,Central Midfield,Retired,?,35,1
Divine Fonjock,Defensive Midfield,Savona,-,34,0
Fabio Gallo,Defensive Midfield,Retired,?,39,2
Fabio Roselli,Defensive Midfield,Mezzolara,free transfer,36,1
Riccardo Gissi,Defensive Midfield,Retired,free transfer,36,1
Raffaele De Martino,Defensive Midfield,Pontinia,-,33,0
Francesco Parravicini,Defensive Midfield,Retired,?,33,3
Francesco Galeoto,Right-Back,Retired,free transfer,41,2
Christian Maggio,Right-Back,Retired,-,40,0
Marco Martin,Left-Back,Montebelluna,-,32,1
Anderson,Left-Back,Retired,-,28,1
Alberto Giuliatto,Left-Back,Retired,End of loan,32,0
Iacopo La Rocca,Centre-Back,Retired,-,36,1
Marco Mallus,Centre-Back,Monterubbianese,free transfer,39,1
Stefano Lorenzi,Centre-Back,Retired,?,35,2
Marco Zaninelli,Centre-Back,Retired,free transfer,35,2
Carlos Valdez,Centre-Back,Boston River,?,34,6
William Viali,Centre-Back,Retired,?,36,2
Paolo Dellafiore,Centre-Back,Without Club,-,37,1
Alberto Frison,Goalkeeper,Without Club,-,31,1
Davide Zomer,Goalkeeper,Retired,free transfer,39,1
Samir Handanovic,Goalkeeper,Inter,End of loan,28,5
Adriano Zancopè,Goalkeeper,Retired,?,37,2
Schumacher,Centre-Forward,Botafogo,End of loan,36,-1
Emanuele Ferraro,Centre-Forward,Retired,-,35,1
Marco Ferrante,Centre-Forward,Retired,free transfer,38,2
Fabio Quagliarella,Centre-Forward,Sampdoria,End of loan,33,0
Federico Giampaolo,Attacking Midfield,Retired,?,40,1
Alfredo Cariello,Left Midfield,Retired,free transfer,38,1
Luigi Giorgi,Central Midfield,Without Club,-,33,1
Abel Aguilar,Defensive Midfield,Retired,free transfer,35,1
Valerio Virga,Right-Back,Vigliano,free transfer,33,1
Gianluca Comotto,Right-Back,Retired,?,38,3
Lorenzo Pasqualini,Left-Back,Porto D'Ascoli,-,30,0
Riccardo Bonetto,Left-Back,Retired,-,37,3
Salvatore Bocchetti,Centre-Back,Retired,End of loan,34,0
Massimo Paci,Centre-Back,Retired,free transfer,37,1
Daniele Adani,Centre-Back,Retired,-,37,2
Maurizio Lauro,Centre-Back,Retired,?,34,1
Maurizio Domizzi,Centre-Back,Retired,free transfer,39,3
Rey Volpato,Centre-Forward,Camisano,free transfer,35,1
Pasquale Iadaresta,Centre-Forward,Puteolana,-,36,0
Massimo Marazzina,Centre-Forward,Retired,?,36,4
Tomás Guzmán,Attacking Midfield,Retired,?,34,1
Francesco Cozza,Attacking Midfield,Retired,free transfer,36,1
Douglas Packer,Central Midfield,Marcílio Dias,free transfer,35,1
Matteo Paro,Central Midfield,Retired,?,33,1
